"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","Kevin Durant",10600,"Dal@OKC 08:00PM ET",43.620
"PG","Russell Westbrook",10600,"Dal@OKC 08:00PM ET",49.039
"SF","LeBron James",10300,"Cle@Chi 08:00PM ET",47.622
"PG","Chris Paul",9800,"SA@LAC 10:30PM ET",42.976
"PF","Pau Gasol",9600,"Cle@Chi 08:00PM ET",42.955
"PF","Blake Griffin",9200,"SA@LAC 10:30PM ET",41.721
"PG","Kyrie Irving",8200,"Cle@Chi 08:00PM ET",37.635
"PF","Kevin Love",8100,"Cle@Chi 08:00PM ET",36.672
"C","DeAndre Jordan",7800,"SA@LAC 10:30PM ET",35.080
"PG","Derrick Rose",7700,"Cle@Chi 08:00PM ET",31.375
"SG","Jimmy Butler",7600,"Cle@Chi 08:00PM ET",37.265
"SF","Kawhi Leonard",7500,"SA@LAC 10:30PM ET",34.199
"PF","Tim Duncan",7400,"SA@LAC 10:30PM ET",37.314
"SG","Monta Ellis",7400,"Dal@OKC 08:00PM ET",33.426
"PF","Dirk Nowitzki",6700,"Dal@OKC 08:00PM ET",30.725
"C","Tyson Chandler",6700,"Dal@OKC 08:00PM ET",31.115
"PG","Rajon Rondo",6600,"Dal@OKC 08:00PM ET",32.407
"SF","Chandler Parsons",6600,"Dal@OKC 08:00PM ET",28.377
"PF","Serge Ibaka",6600,"Dal@OKC 08:00PM ET",30.380
"C","Joakim Noah",6200,"Cle@Chi 08:00PM ET",28.536
"SG","Jamal Crawford",5400,"SA@LAC 10:30PM ET",24.673
"C","Timofey Mozgov",5100,"Cle@Chi 08:00PM ET",22.966
"PG","Tony Parker",4900,"SA@LAC 10:30PM ET",24.099
"PF","Taj Gibson",4900,"Cle@Chi 08:00PM ET",24.517
"PG","J.J. Barea",4800,"Dal@OKC 08:00PM ET",15.741
"SG","Danny Green",4700,"SA@LAC 10:30PM ET",26.221
"SG","Manu Ginobili",4600,"SA@LAC 10:30PM ET",25.128
"PG","Devin Harris",4600,"Dal@OKC 08:00PM ET",18.375
"SF","Al-Farouq Aminu",4600,"Dal@OKC 08:00PM ET",13.984
"PF","Tristan Thompson",4600,"Cle@Chi 08:00PM ET",22.741
"SG","J.R. Smith",4400,"Cle@Chi 08:00PM ET",22.006
"SF","Matt Barnes",4300,"SA@LAC 10:30PM ET",19.667
"PF","Charlie Villanueva",4000,"Dal@OKC 08:00PM ET",10.953
"SF","Tony Snell",4000,"Cle@Chi 08:00PM ET",8.953
"C","Spencer Hawes",3900,"SA@LAC 10:30PM ET",15.011
"C","Steven Adams",3800,"Dal@OKC 08:00PM ET",20.300
